1	1.5	0.9	0.2	97.4
2	0	0	0	100
3	0.2	0.5	0.5	98.8
4	0.2	0.2	0	99.5
5	0.2	0.2	0	99.5
6	0.2	0	0	99.8
7	0.2	0.7	0	99
8	12.7	5.5	0	81.9
9	20.6	3	0	76.4
10	12.8	2.5	0	84.7
11	0.2	0.2	0	99.5
12	0	0.2	0	99.8
13	1	1	0	98
14	0.2	0	0	99.8
15	0	0.2	0	99.8
16	0	0.2	0.2	99.5
17	21.8	1	0	77.2
18	27.3	1.8	0	70.9
19	50.7	3.9	0	45.4
20	74.3	5.5	0	20.2
21	22.4	0.3	0	77.3
22	38.9	1.5	0	59.5
23	75.3	2.6	0	22.1
24	82.9	4.4	0	12.7
25	59.9	2.8	0	37.3
26	21.7	0.5	0	77.8
27	22.8	0.3	0	77
28	27.6	1.5	0	70.9
29	62.6	7.1	0	30.3
30	70.3	6.4	0	23.2
31	69.7	5.9	0	24.4
32	43.2	2.6	0	54.2
33	54.3	1.3	0	44.4
34	77.7	1.6	0	20.7
35	61.3	1.8	0	36.9
36	22.6	0.3	0	77.2
37	29.6	0.3	0	70.2
38	47.5	2.7	0	49.8
39	65.6	6.7	0	27.7
40	64.5	6.7	0	28.8
41	68.4	5.1	0	26.5
42	59.8	13.5	0	26.7
43	75.6	1.5	0	22.9
44	74.2	0.5	0	25.3
45	65.3	1.6	0	33.2
46	84.7	4	0	11.3
47	87.5	3.5	0	9
48	86.6	2.7	0	10.7
49	85.4	3.3	0	11.4
50	74.4	4.3	0	21.4
51	91.1	6.7	0	2.2
52	86.3	8.2	0	5.5
53	86	8.5	0	5.5
54	87	8	0	5
55	88.3	8	0	3.7
56	87.8	7	0	5.2
57	87.2	7.5	0	5.3
58	89.7	6.8	0	3.5
59	87.3	7.5	0	5.2
60	88.2	7	0	4.8
61	83.4	7.7	0	8.9
62	89.8	7.5	0	2.7
63	87.7	7	0	5.3
64	86.9	8.5	0	4.6
65	89.5	7.8	0	2.8
66	88.8	6	0	5.2
