Time	User%	Sys%	Wait%	Idle%	CPU%
736	25	1.5	0	73.5	26.5
737	22.7	2.7	0.7	73.8	25.4
738	20.5	4.4	1.5	73.6	24.9
739	6.1	14.9	9.3	69.7	21
740	0.5	25.8	0.5	73.2	26.3
741	3.7	6.6	0.5	89.3	10.3
742	1	1	0.2	97.8	2
743	0.2	1.5	0	98.3	1.7
744	1	1.7	0	97.3	2.7
745	0.5	2.6	0.5	96.5	3.1
746	1.2	2.7	0.7	95.3	3.9
747	1.3	3.7	0.4	94.5	5
748	1.2	1.2	0	97.6	2.4
749	0.5	1.7	0	97.8	2.2
750	0.5	2.7	0.7	96.1	3.2
751	0.7	1.5	0	97.8	2.2
752	1.2	2.9	1.2	94.6	4.1
753	0.5	2.1	0.2	97.2	2.6
754	1	1	0	98.1	2
755	0.7	1.2	0	98.1	1.9
756	0.7	1.5	0	97.8	2.2
757	1	1	0.2	97.8	2
758	0.5	1.2	0	98.3	1.7
759	0.7	1.2	0	98.1	1.9
760	1	1.5	0	97.6	2.5
761	0.5	2.2	0	97.3	2.7
